BlankSpace	空行
BoxGroup(string)	分组框
Button()	按钮
Dropdown(string)	下拉列表，string为private的数组
EnableIf(function)	函数判断该变量是否可修改
EnableIf(ConditionPerator.And,fun1,fun2)	函数的与或判断	
InfoBox(message,InfoBoxType,function)	如果函数成立，开启信息盒
Label(name)		改显示的函数名
MinMaxSlider(a,b)	双范围显示
MinValue(a)		最小值限制
MaxValue(a)		最大值限制
OnValueChanged(func)	当值改变时启动函数
ProgressBar(name,value,color)	进度条，value默认100
ReadOnly		只读
ReorderableList		可改变顺序的数组/链表
Required(name)		为空时会显示Error栏
ResizableTextArea	可变长多行字符串
Section(name)		Header()
ShowAssetPreview(w,h)	显示图片或prefab
ShowNonSerializedField	私有变量可见(ReadOnly)
Tag			显示所有Tag(对于字符串)
